,place_name,tour_element,tour_element_name,,,,,,,,,,,,
150,달마사,음식점,곤지암할매소머리국밥 흑석시장점,,,,,,,,,,,,
151,달마사,음식점,신의주찹쌀순대 숭실대점,,,,,,,,,,,,
152,달마사,음식점,북촌순두부&쭈꾸미,,,,,,,,,,,,
153,달마사,음식점,차돌이,,,,,,,,,,,,
154,달마사,음식점,불타는소금구이 상도동점,,,,,,,,,,,,
155,달마사,음식점,포마토김밥 중앙대점,,,,,,,,,,,,
156,달마사,음식점,광양불고기,,,,,,,,,,,,
157,달마사,음식점,배달짜글 oh짜글 상도점,,,,,,,,,,,,
158,달마사,음식점,상도김밥,,,,,,,,,,,,
159,달마사,음식점,밀알식당,,,,,,,,,,,,
160,달마사,음식점,아이언키친,,,,,,,,,,,,
161,달마사,음식점,화옌옌 샤브샤브,,,,,,,,,,,,
162,달마사,음식점,이레김밥,,,,,,,,,,,,
163,달마사,음식점,선김밥 상도본점,,,,,,,,,,,,
164,달마사,음식점,고고차돌 중앙대점,,,,,,,,,,,,
165,달마사,음식점,안심생고기,,,,,,,,,,,,
166,달마사,음식점,포앤그릴,,,,,,,,,,,,
167,달마사,음식점,고기스토리,,,,,,,,,,,,
168,달마사,음식점,엄마손백반,,,,,,,,,,,,
169,달마사,음식점,열정식당,,,,,,,,,,,,
170,달마사,음식점,족발천국,,,,,,,,,,,,
171,달마사,음식점,,,,,,,,,,,,,
172,달마사,음식점,,,,,,,,,,,,,
173,달마사,음식점,닭갈비생각 숭실대점,,,,,,,,,,,,
174,달마사,음식점,아람,,,,,,,,,,,,
175,달마사,음식점,다성반점,,,,,,,,,,,,
176,달마사,음식점,진성 참숯불갈비,,,,,,,,,,,,
177,달마사,음식점,바른곱창 상도점,,,,,,,,,,,,
178,달마사,음식점,김밥천국 중앙대점,,,,,,,,,,,,
179,달마사,음식점,오니기리와이규동 숭실대점,,,,,,,,,,,,
180,달마사,음식점,바다요리,,,,,,,,,,,,
181,달마사,음식점,롤링라이스 상도애스톤파크점,,,,,,,,,,,,
182,달마사,음식점,설쌈냉면,,,,,,,,,,,,
183,달마사,음식점,청운음식점,,,,,,,,,,,,
184,달마사,음식점,추억과김밥,,,,,,,,,,,,
185,달마사,음식점,소문난곱창볶음,,,,,,,,,,,,
186,달마사,음식점,양만이 상도직영점,,,,,,,,,,,,
187,달마사,음식점,김밥매니아,,,,,,,,,,,,
188,달마사,음식점,김밥이맛있는집,,,,,,,,,,,,
189,달마사,음식점,토스트굽는사람들 상도점,,,,,,,,,,,,
190,달마사,음식점,,,,,,,,,,,,,
191,달마사,음식점,,,,,,,,,,,,,
192,달마사,음식점,,,,,,,,,,,,,
193,달마사,음식점,고모밥죠,,,,,,,,,,,,
194,달마사,음식점,아영이네,,,,,,,,,,,,
195,달마사,음식점,마포갈매기 숭실대점,,,,,,,,,,,,
196,달마사,음식점,장군왕족발보쌈3989 상도점,,,,,,,,,,,,
197,달마사,음식점,송탄부대찌개와즉석떡볶이,,,,,,,,,,,,
198,달마사,음식점,고기먹으러,,,,,,,,,,,,
199,달마사,음식점,상도족발,,,,,,,,,,,,
200,달마사,음식점,숭실골고기마을,,,,,,,,,,,,
201,달마사,음식점,가마솥족발 본점,,,,,,,,,,,,
202,달마사,음식점,국수마당,,,,,,,,,,,,
203,달마사,음식점,윤정즉석김밥,,,,,,,,,,,,
204,달마사,음식점,정통왕족발,,,,,,,,,,,,
205,달마사,음식점,김밥천국 상도역점,,,,,,,,,,,,
206,달마사,음식점,홍당무,,,,,,,,,,,,
207,달마사,음식점,동원참치 중앙대병원점,,,,,,,,,,,,
208,달마사,음식점,고향토종순대곱창,,,,,,,,,,,,
209,달마사,음식점,,,,,,,,,,,,,
210,달마사,음식점,,,,,,,,,,,,,
211,달마사,음식점,,,,,,,,,,,,,
212,달마사,음식점,압구정떡볶이 흑석점,,,,,,,,,,,,
213,달마사,음식점,닭터찜바고,,,,,,,,,,,,
214,달마사,음식점,만나식당,,,,,,,,,,,,
215,달마사,음식점,다옴,,,,,,,,,,,,
216,달마사,음식점,유진식당,,,,,,,,,,,,
217,달마사,음식점,초반식당,,,,,,,,,,,,
218,달마사,음식점,삼대째손두부 중앙대점,,,,,,,,,,,,
219,달마사,음식점,우리집칼국수,,,,,,,,,,,,
220,달마사,음식점,장독대,,,,,,,,,,,,
221,달마사,음식점,프리미엄 쫄면삼겹 고돼지상도점,,,,,,,,,,,,
222,달마사,음식점,전주집순대,,,,,,,,,,,,
223,달마사,음식점,상도전집,,,,,,,,,,,,
224,달마사,음식점,쿵푸 중대점,,,,,,,,,,,,
225,달마사,음식점,울진횟집,,,,,,,,,,,,
226,달마사,음식점,한강생고기,,,,,,,,,,,,
227,달마사,음식점,재팔이네닭발,,,,,,,,,,,,
228,달마사,음식점,,,,,,,,,,,,,
229,달마사,음식점,,,,,,,,,,,,,
230,달마사,음식점,,,,,,,,,,,,,
231,달마사,음식점,해성분식,,,,,,,,,,,,
232,달마사,음식점,고기마을 찌개나라,,,,,,,,,,,,
233,달마사,음식점,빈털털이,,,,,,,,,,,,
234,달마사,음식점,강남분식,,,,,,,,,,,,
235,달마사,음식점,정성식당,,,,,,,,,,,,
236,달마사,음식점,서집사김밥전문점,,,,,,,,,,,,
237,달마사,음식점,남원맛고을,,,,,,,,,,,,
238,달마사,음식점,엉터리생고기 흑석점,,,,,,,,,,,,
239,달마사,음식점,오장동함흥냉면,,,,,,,,,,,,
240,달마사,음식점,쭈꾸미 1973,,,,,,,,,,,,
241,달마사,음식점,군산아구찜,,,,,,,,,,,,
242,달마사,음식점,초롱박,,,,,,,,,,,,
243,달마사,음식점,빨간오뎅,,,,,,,,,,,,
244,달마사,음식점,힐링국수집,,,,,,,,,,,,
245,달마사,음식점,삼성해물촌,,,,,,,,,,,,
246,달마사,음식점,승진식당,,,,,,,,,,,,
247,달마사,음식점,,,,,,,,,,,,,
248,달마사,음식점,,,,,,,,,,,,,
249,달마사,음식점,,,,,,,,,,,,,
250,달마사,음식점,대왕대포,,,,,,,,,,,,
251,달마사,음식점,황토방식당,,,,,,,,,,,,
252,달마사,음식점,본쌈냉면,,,,,,,,,,,,
253,달마사,음식점,바야흐로,,,,,,,,,,,,
254,달마사,음식점,송가네식당,,,,,,,,,,,,
255,달마사,음식점,라화,,,,,,,,,,,,
256,달마사,음식점,스시원,,,,,,,,,,,,
257,달마사,음식점,땡초,,,,,,,,,,,,
258,달마사,음식점,놀부보쌈과돌솥밥,,,,,,,,,,,,
259,달마사,음식점,선비우동,,,,,,,,,,,,
260,달마사,음식점,라이라이켄,,,,,,,,,,,,
261,달마사,음식점,상도해물찜아구찜,,,,,,,,,,,,
262,달마사,음식점,칡산정냉면,,,,,,,,,,,,
263,달마사,음식점,소문난만천곱창,,,,,,,,,,,,
264,달마사,음식점,국물집 상도점,,,,,,,,,,,,
265,달마사,음식점,전주콩나물해장국전문,,,,,,,,,,,,
266,달마사,음식점,,,,,,,,,,,,,
267,달마사,음식점,,,,,,,,,,,,,
268,달마사,음식점,,,,,,,,,,,,,
269,달마사,음식점,하하분식,,,,,,,,,,,,
270,달마사,음식점,웅묘탕포관,,,,,,,,,,,,
271,달마사,음식점,현주네김밥,,,,,,,,,,,,
272,달마사,음식점,돈&돈,,,,,,,,,,,,
273,달마사,음식점,나라비우동,,,,,,,,,,,,
274,달마사,음식점,코코스중앙식당,,,,,,,,,,,,
275,달마사,음식점,킬러분식,,,,,,,,,,,,
276,달마사,음식점,쿠웨이트떡볶이,,,,,,,,,,,,
277,달마사,음식점,영광족발,,,,,,,,,,,,
278,달마사,음식점,상도연어,,,,,,,,,,,,
279,달마사,음식점,은행골,,,,,,,,,,,,
280,달마사,음식점,시골밥상,,,,,,,,,,,,
281,달마사,음식점,조선화로집 상도역점(오픈예정),,,,,,,,,,,,
282,달마사,음식점,김과장수제즉석돈까스,,,,,,,,,,,,
283,달마사,음식점,넝쿨종합분식,,,,,,,,,,,,
284,달마사,음식점,영스낵,,,,,,,,,,,,
285,달마사,카페,,,,,,,,,,,,,
286,달마사,카페,,,,,,,,,,,,,
287,달마사,카페,,,,,,,,,,,,,
288,달마사,카페,,,,,,,,,,,,,
289,달마사,카페,피터패트,,,,,,,,,,,,
290,달마사,카페,토크넌센스,,,,,,,,,,,,
291,달마사,카페,,,,,,,,,,,,,
292,달마사,카페,우부래도,,,,,,,,,,,,
293,달마사,카페,LITITCOFFEE,,,,,,,,,,,,
294,달마사,카페,,,,,,,,,,,,,
295,달마사,카페,그랩커피,,,,,,,,,,,,
296,달마사,카페,컵 오브 컴포트,,,,,,,,,,,,
297,달마사,카페,,,,,,,,,,,,,
298,달마사,카페,가성비,,,,,,,,,,,,
299,달마사,카페,랭스터디카페 숭실대점,,,,,,,,,,,,
300,달마사,카페,,,,,,,,,,,,,
301,달마사,카페,초심스터디카페 숭실대점,,,,,,,,,,,,
302,달마사,카페,스타벅스 중앙대점,,,,,,,,,,,,
303,달마사,카페,가춘,,,,,,,,,,,,
304,달마사,카페,휘게,,,,,,,,,,,,
305,달마사,카페,,,,,,,,,,,,,
306,달마사,카페,,,,,,,,,,,,,
307,달마사,카페,,,,,,,,,,,,,
308,달마사,카페,,,,,,,,,,,,,
309,달마사,카페,예약,,,,,,,,,,,,
310,달마사,카페,예약,,,,,,,,,,,,
311,달마사,카페,,,,,,,,,,,,,
312,달마사,카페,토모니베이커리,,,,,,,,,,,,
313,달마사,카페,투썸플레이스 숭실대점,,,,,,,,,,,,
314,달마사,카페,,,,,,,,,,,,,
315,달마사,카페,꿈날다스터디카페,,,,,,,,,,,,
316,달마사,카페,공부하기좋은카페오늘,,,,,,,,,,,,
317,달마사,카페,,,,,,,,,,,,,
318,달마사,카페,러윗츠,,,,,,,,,,,,
319,달마사,카페,위넌스터디카페 중앙대점,,,,,,,,,,,,
320,달마사,카페,,,,,,,,,,,,,
321,달마사,카페,배스킨라빈스숭실대점,,,,,,,,,,,,
322,달마사,카페,헬로달콤,,,,,,,,,,,,
323,달마사,카페,커피나무 숭실대점,,,,,,,,,,,,
324,달마사,카페,바바플,,,,,,,,,,,,
325,달마사,카페,,,,,,,,,,,,,
326,달마사,카페,,,,,,,,,,,,,
327,달마사,카페,,,,,,,,,,,,,
328,달마사,카페,,,,,,,,,,,,,
329,달마사,카페,인사운드음악연습실,,,,,,,,,,,,
330,달마사,카페,24스터디라운지서당 숭실대점,,,,,,,,,,,,
331,달마사,카페,,,,,,,,,,,,,
332,달마사,카페,예약,,,,,,,,,,,,
333,달마사,카페,위넌스터디카페 숭실대점,,,,,,,,,,,,
334,달마사,카페,,,,,,,,,,,,,
335,달마사,카페,이디야 중앙대후문점,,,,,,,,,,,,
336,달마사,카페,그루스터디카페 상도센터,,,,,,,,,,,,
337,달마사,카페,,,,,,,,,,,,,
338,달마사,카페,미르보드게임,,,,,,,,,,,,
339,달마사,카페,그루비,,,,,,,,,,,,
340,달마사,카페,,,,,,,,,,,,,
341,달마사,카페,블럭카페플레고,,,,,,,,,,,,
342,달마사,카페,커피나무 상도점,,,,,,,,,,,,
343,달마사,카페,이디야커피 중앙대점,,,,,,,,,,,,
344,달마사,카페,이디야커피 숭실대역점,,,,,,,,,,,,
345,달마사,카페,,,,,,,,,,,,,
346,달마사,카페,,,,,,,,,,,,,
347,달마사,카페,,,,,,,,,,,,,
348,달마사,카페,,,,,,,,,,,,,
349,달마사,카페,예약,,,,,,,,,,,,
350,달마사,카페,쏘하,,,,,,,,,,,,
351,달마사,카페,,,,,,,,,,,,,
352,달마사,카페,스터디캐슬 숭실대점,,,,,,,,,,,,
353,달마사,카페,커피만,,,,,,,,,,,,
354,달마사,카페,,,,,,,,,,,,,
355,달마사,카페,커피나무 상도역점,,,,,,,,,,,,
356,달마사,카페,디저트정,,,,,,,,,,,,
357,달마사,카페,,,,,,,,,,,,,
