,place_name,review
638,경주 장항리 서 오층석탑,15
639,내장사,591
640,김대중 대통령 생가,28
641,동천석실,33
642,초의선사 유적지,82
643,진천 김유신 탄생지와 태실,40
644,원주 영원산성,9
645,선본사,63
646,대광사,0
647,수원박물관,206
648,무안 발산마을미륵당산,1
649,달성 삼가헌 고택,40
650,천은사,84
651,남양주 사릉,176
652,논개사당,59
653,영평사,651
654,양양동해신묘지,0
655,서울 헌릉과 인릉,67
656,경주 황룡사지,331
657,인천 답동성당,136
658,예림서원,1
659,경주 감은사지,356
660,연주암,2
661,석종사,92
662,옛백제병원,1481
663,청도읍성,536
664,의성김씨학봉종택,41
665,선원사,9
666,홍승인고가,4
667,용천사,291
668,미타사,0
669,화산천주교회,263
670,서울 남현동 요지,8
671,퇴계태실,13
672,남간정사,68
673,진도 용장성,0
674,이장우가옥,101
675,군위 인각사지,12
676,난고 김삿갓 유적지,29
677,연흥사,8
678,인천 경서동 녹청자 요지,6
679,금산 칠백의총,128
680,가산서원,0
681,홍지문 ,22
682,독용산성,23
683,귀신사,39
684,관룡사,204
685,경주 선덕여왕릉,159
686,용화사,2
687,제천 엽연초수납 취급소,20
688,화순 정암 조광조선생 적려 유허비,10
689,홍련암,0
690,경국사,49
691,기림사,285
692,홍예문,97
693,함벽정,34
694,진잠향교,15
695,보광사,360
696,정읍김동수씨가옥,83
697,장곡사,313
698,전주 남고산성,53
699,운흥사,27
700,벽송사,117
701,해가사의 터,19
702,서천 이하복 고택,32
703,부산동명불원,10
704,서산 경주김씨 고택,17
705,설봉서원,23
706,은하사,0
707,영산호국공원,6
708,부여 나성,27
709,남원 교룡산성,39
710,뒤웅박고을,391
711,아산 이충무공 유허,0
712,가야진사,77
713,송암사,1
714,김포 수안산성,0
715,무주한풍루,35
716,위봉사,0
717,대성사,0
718,신흥사,545
719,경주민속공예촌,103
720,대구제일교회,156
721,서생포왜성,106
722,안동 의성김씨 종택,8
723,천도교중앙대교당,62
724,함벽루,62
725,창경궁 홍화문,152
726,청주 용두사지 철당간,76
727,두타산성,0
728,고성 학동마을 옛 담장,71
729,양주향교,52
730,학소암,4
731,안양사,49
732,영남제일관,26
733,용소막성당,216
734,보길도 윤선도 원림,19
735,부여 송국리 유적,10
736,국형사,65
737,남고문,23
738,울진 봉평리 신라비,5
739,쌍계사,1127
740,미타사,97
741,충익사,82
742,정방사,294
743,익산 쌍릉,75
744,과천향교,86
745,원갑사,7
746,자재암,102
747,대전사,167
748,창녕 석빙고,61
749,봉국사,3
750,황학정,14
751,태교사,5
752,구암사,0
753,김해 구지봉,45
754,신원사,0
755,영월루,90
756,너리굴 문화마을,140
757,사교루,0
758,인천우체국,13
759,김좌진장군생가지,161
760,완도 묘당도 이충무공 유적,17
761,청주 무농정,5
762,정수사,0
763,통일안보공원,7
764,중앙고등학교,204
765,현덕사,50
766,조령민속공예촌,3
767,삼청동오위장김춘영가옥,5
768,김상옥 생가,0
769,경산 임당동과 조영동 고분군,8
770,금강대도,0
771,법륜사,116
772,세검정 터,118
773,남원 흥부마을,1
774,법흥사,250
775,내원사,311
776,평화통일 불사리탑,24
777,성주사,257
778,도선사,382
779,단재 신채호선생생가지,31
780,인천통일관,5
781,군산항,123
782,가실성당,255
783,은적사,0
784,난계 박연선생 생가,11
785,이응로선생사적지,1
786,수도리 전통마을,1080
787,보성사터,7
788,정취암,169
789,천간사,7
790,둔산선사유적지,146
791,선교사블레어주택,29
792,화산산성,90
793,봉인사,34
794,흥천사,0
795,충주 장미산성,20
796,소재사,28
797,대구 구 동촌역사,1
798,용화사,1
799,대천한내돌다리,12
800,흑성산성,142
801,부산진일신여학교,23
802,망양돈대,21
803,청주 충청도병마절도사영문,5
804,가평향교,7
805,석왕사,2
806,충주 임충민공 충렬사,17
807,죽림사,18
808,파평용연,6
809,제천 자양영당,45
810,삼막사남녀근석,7
811,충주 탑평리 칠층석탑,100
812,미타암,52
813,불굴사,77
814,배중손 사당,17
815,송림사,133
816,하남 동사지,0
817,연미사,0
818,서천사,7
819,익산 함라마을 옛 담장,38
820,당고개순교성지,93
821,광주공원,213
822,옥천 육영수 생가,147
823,구룡포 근대문화역사관,587
824,강릉 임영관 삼문,10
825,무상사,38
826,이충무공자당기거지,2
827,서천 성북리 오층석탑,16
828,안동 장승공원,3
829,용진정사,10
830,심원사,45
831,광희문,149
832,녹동서원,733
833,영동 한천정사,10
834,인천향교,60
835,선운사 백파율사비,0
836,보광사,360
837,도봉서원,37
838,함안무기연당,29
839,심천역,64
840,마하사,7
841,나주 반남 고분군,13
842,유금사,14
843,당진면천읍성,34
844,광주 조선백자 요지,7
845,성주 성산동 고분군,0
846,서광사,24
847,백산기념관,74
848,아랑각,37
849,여주 파사성,149
850,해군영흥도 전적비,30
851,달성사,7
852,비슬산 유가사,146
853,산방굴사,227
854,서울 암사동 유적,590
855,안동 군자마을,151
856,수원사,0
857,고령 지산동 고분군,110
858,승가사,0
859,서귀포 김정희 유배지,259
860,남원 만복사지,61
861,영동 난계사,28
862,공주 석장리 유적,717
863,진관사,539
864,여수 타루비,4
865,칠곡향교대성전,19
866,무양서원,40
867,모충사,0
868,전주이씨광평대군파묘역,0
869,반기문 유엔사무총장 생가마을,123
870,장산서원,3
871,호명사,1
872,청룡사,187
873,옥련선원,59
874,사나사,122
875,현풍석빙고,40
876,김해 수로왕비릉,115
877,정읍 전봉준 유적,2
878,묘적사,92
879,망이산성,0
880,안흥사,0
881,화순광산이씨승지공비,0
882,보문사,1686
883,양화진외국인선교사묘원,218
884,용문사,1502
885,동축사,0
886,영남루,1017
887,충주 산성,18
888,존애원,11
889,은수사,97
890,가평리 계서당,54
891,의열사,0
892,양송천묘역,1
893,체화정,77
894,망경암,12
895,평강성서유물 박물관,8
896,무각사,193
897,용산성당,5
898,천보사,1
899,현암사,5
900,태종대,3791
901,용강서원,4
902,낙동서원,2
903,도갑사,191
904,축서사,111
905,합강정,80
906,금룡사,12
907,의성 경덕왕릉,30
908,가학동지석묘,7
909,이중섭 거주지,107
910,도솔암,191
911,미륵사,0
912,봉녕사,288
913,신흥사,545
914,고려동유적지,60
915,정약용선생묘,13
916,별방진,106
917,지선사,13
918,의성 탑리리 오층석탑,46
919,국립임실호국원,109
920,통영 한산도 이충무공 유적,0
921,안동 법흥사지 칠층전탑,56
922,학산서원,1
923,목포 오포대,0
924,합천 영암사지,58
925,홍의장군 곽망우당 묘소,0
926,경주 남산 용장사곡 삼층석탑,24
927,대성사,0
928,보은 선병국가옥,148
929,보타사,4
930,단호사,32
931,인천 개항 누리길,171
932,제천 점말동굴유적,15
933,흥인지문,627
934,개태사,2626
935,무안 유교리고가,1
936,쌍계사,1127
937,아차산성,36
938,산청함양사건 추모공원,14
939,영일장기읍성,69
940,청도 용천사,30
941,고창 용화사,0
942,장안사대웅전,6
943,화암사,0
944,경주 무열왕릉,265
945,남양주 불암사,90
946,김해 수로왕릉,666
947,천주교배티성지,149
948,단양 온달산성,5
949,음성 미타사,97
950,광명 영회원,0
951,성남 정토사,22
952,흥국사,165
953,효석문화마을,328
954,구미 도리사,382
955,영덕 대소산 봉수대,15
956,대한불교조계종망해사,5
957,부산 성암사,5
958,천주교연풍성지,68
959,등명낙가사,122
960,함안 무진정,341
961,원주 상원사,32
962,양산 내원사,311
963,해미순교성지,177
964,고성 어명기 고택,17
965,하강서원,11
966,보은 속리 정이품송,267
967,부산좌수영성지푸조나무,6
968,우일선 선교사 사택,88
969,황토현전적지,43
970,영월 정양산성,0
971,한용운선생 생가지,163
972,황산마을,24
973,천주교대구대교구한티순교성지,0
974,창덕궁 인정문,14
975,무주 지전마을 옛 담장,14
976,일산역전시관,37
977,왕궁리유적,291
978,안동하회마을겸암정사,50
979,경주 장항리 서 오층석탑,15
980,초의선사 탄생지,82
981,김유신 탄생지,40
982,원주 영원산성,9
983,헌릉,67
984,브라운핸즈백제,1478
985,학봉종택,41
986,신채호선생생가,32
987,해군영흥도 전적비,30
988,칠곡향교,19
989,전주이씨광평대군묘역영순군묘,0
990,반기문기념관,44
991,장산서원,3
992,망이산성,0
993,양송천묘역,1
994,평강성서유물 박물관,8
995,곽재우장군묘소,7
996,정지용 생가,287
997,순천 정혜사,12
998,무섬마을,1082
999,김상옥 생가,0
1000,개태사,214
